"index";"name";"rating";"genre";"year";"released";"score";"votes";"director";"writer";"star";"country";"budget";"gross";"company";"runtime"
42;"The Stunt Man";"R";"Action";1980;"June 27, 1980 (United States)";7.1;9000.0;"Richard Rush";"Lawrence B. Marcus";"Peter O'Toole";"United States";3500000.0;7063886.0;"Melvin Simon Productions";131.0
43;"Where the Buffalo Roam";"R";"Biography";1980;"April 25, 1980 (United States)";6.6;11000.0;"Art Linson";"Hunter S. Thompson";"Peter Boyle";"United States";0.0;6659377.0;"Universal Pictures";99.0
44;"The Awakening";"R";"Horror";1980;"October 31, 1980 (United States)";4.8;2000.0;"Mike Newell";"Allan Scott";"Charlton Heston";"United Kingdom";0.0;8415112.0;"EMI Films";101.0
45;"Cheech and Chong's Next Movie";"R";"Comedy";1980;"July 18, 1980 (United States)";6.1;12000.0;"Tommy Chong";"Tommy Chong";"Cheech Marin";"United States";0.0;41675194.0;"Universal Pictures";99.0
46;"The Island";"R";"Action";1980;"June 13, 1980 (United States)";5.3;3900.0;"Michael Ritchie";"Peter Benchley";"Michael Caine";"United States";22000000.0;15716828.0;"Universal Pictures";109.0
47;"The Boogey Man";"R";"Horror";1980;"November 7, 1980 (United States)";4.6;3900.0;"Ulli Lommel";"Ulli Lommel";"Suzanna Love";"United States";300000.0;0.0;"The Jerry Gross Organization";82.0
48;"The Nude Bomb";"PG";"Action";1980;"May 9, 1980 (United States)";5.1;3100.0;"Clive Donner";"Mel Brooks";"Don Adams";"United States";15000000.0;14662035.0;"Universal Pictures";94.0
49;"Lion of the Desert";"PG";"Biography";1980;"May 16, 1981 (Japan)";8.3;15000.0;"Moustapha Akkad";"David Butler";"Anthony Quinn";"Libya";35000000.0;0.0;"Falcon International Productions";173.0
50;"Stardust Memories";"PG";"Comedy";1980;"September 26, 1980 (United States)";7.3;22000.0;"Woody Allen";"Woody Allen";"Woody Allen";"United States";10000000.0;10389003.0;"Jack Rollins & Charles H. Joffe Productions";89.0
51;"Melvin and Howard";"R";"Comedy";1980;"September 19, 1980 (United States)";6.8;4500.0;"Jonathan Demme";"Bo Goldman";"Paul Le Mat";"United States";7000000.0;4309490.0;"Universal Pictures";95.0
52;"Can't Stop the Music";"PG";"Biography";1980;"June 20, 1980 (United States)";4.2;3700.0;"Nancy Walker";"Bronte Woodard";"Ray Simpson";"United States";20000000.0;0.0;"EMI Films";124.0
53;"Bronco Billy";"PG";"Action";1980;"June 11, 1980 (United States)";6.1;11000.0;"Clint Eastwood";"Dennis Hackin";"Clint Eastwood";"United States";6500000.0;24265659.0;"Warner Bros.";116.0
54;"City of Women";"R";"Comedy";1980;"April 8, 1981 (United States)";7.0;6700.0;"Federico Fellini";"Federico Fellini";"Marcello Mastroianni";"Italy";0.0;12516.0;"Opera Film Produzione";139.0
55;"The Private Eyes";"PG";"Comedy";1980;"November 21, 1980 (United States)";6.7;2900.0;"Lang Elliott";"Tim Conway";"Tim Conway";"United States";0.0;0.0;"Tri Star Productions";91.0
56;"When Time Ran Out...";"PG";"Action";1980;"March 28, 1980 (United States)";4.6;2600.0;"James Goldstone";"Gordon Thomas";"Paul Newman";"United States";20000000.0;3763988.0;"International Cinema";121.0
57;"Oh Heavenly Dog";"PG";"Comedy";1980;"July 11, 1980 (United States)";5.4;2400.0;"Joe Camp";"Rod Browning";"Chevy Chase";"United States";6000000.0;6216067.0;"Mulberry Square Productions";103.0
58;"The Octagon";"R";"Action";1980;"August 15, 1980 (United States)";5.1;5200.0;"Eric Karson";"Leigh Chapman";"Chuck Norris";"United States";4000000.0;18971000.0;"American Cinema Productions";103.0
59;"Hangar 18";"PG";"Sci-Fi";1980;"March 13, 1981 (Ireland)";5.3;2400.0;"James L. Conway";"Ken Pettus";"Darren McGavin";"United States";11000000.0;0.0;"Sunn Classic Pictures";97.0
60;"Herbie Goes Bananas";"G";"Adventure";1980;"June 25, 1980 (United States)";5.0;5300.0;"Vincent McEveety";"Don Tait";"Charles Martin Smith";"United States";0.0;18000000.0;"Walt Disney Productions";100.0
61;"The Competition";"PG";"Drama";1980;"December 3, 1980 (United States)";6.7;1900.0;"Joel Oliansky";"Joel Oliansky";"Richard Dreyfuss";"United States";0.0;14287755.0;"Rastar Films";123.0
62;"It's My Turn";"R";"Comedy";1980;"February 5, 1981 (Argentina)";5.5;875.0;"Claudia Weill";"Eleanor Bergstein";"Jill Clayburgh";"United States";0.0;0.0;"Rastar Films";91.0
63;"Honeysuckle Rose";"PG";"Drama";1980;"July 18, 1980 (United States)";6.3;1400.0;"Jerry Schatzberg";"Gösta Stevens";"Willie Nelson";"United States";0.0;17815212.0;"Major Studio Partners";119.0
64;"Resurrection";"PG";"Drama";1980;"September 26, 1980 (United States)";7.3;2800.0;"Daniel Petrie";"Lewis John Carlino";"Ellen Burstyn";"United States";0.0;3910019.0;"Universal Pictures";103.0
65;"Fatso";"PG";"Comedy";1980;"February 1, 1980 (United States)";6.3;2000.0;"Anne Bancroft";"Anne Bancroft";"Dom DeLuise";"United States";0.0;7653061.0;"Brooksfilms";93.0
66;"Moscow Does Not Believe in Tears";"PG";"Comedy";1980;"February 11, 1980 (Soviet Union)";8.1;12000.0;"Vladimir Menshov";"Valentin Chernykh";"Vera Alentova";"Soviet Union";900000.0;0.0;"Mosfilm";150.0
67;"The Fiendish Plot of Dr. Fu Manchu";"PG";"Comedy";1980;"August 8, 1980 (United States)";5.1;2000.0;"Piers Haggard";"Rudy Dochtermann";"Peter Sellers";"United States";0.0;10697276.0;"Braun Entertainment Group";100.0
68;"Serial";"R";"Comedy";1980;"March 28, 1980 (United States)";6.6;915.0;"Bill Persky";"Cyra McFadden";"Martin Mull";"United States";0.0;9870727.0;"Paramount Pictures";86.0
69;"Hero at Large";"PG";"Comedy";1980;"February 8, 1980 (United States)";6.0;1500.0;"Martin Davidson";"AJ Carothers";"John Ritter";"United States";0.0;15934737.0;"Kings Road Entertainment";98.0
70;"Wholly Moses!";"PG";"Comedy";1980;"June 13, 1980 (United States)";4.7;1800.0;"Gary Weis";"Guy Thomas";"Dudley Moore";"United States";0.0;14155617.0;"Columbia Pictures";103.0
71;"Bon Voyage, Charlie Brown (and Don't Come Back!!)";"G";"Animation";1980;"May 30, 1980 (United States)";7.3;2900.0;"Bill Melendez";"Charles M. Schulz";"Scott Beach";"United States";0.0;2013193.0;"Lee Mendelson Film Productions";75.0
72;"In God We Trust (or Gimme That Prime Time Religion)";"PG";"Comedy";1980;"September 26, 1980 (United States)";5.5;965.0;"Marty Feldman";"Marty Feldman";"Marty Feldman";"United States";0.0;5215015.0;"Universal Pictures";97.0
73;"Roadie";"PG";"Comedy";1980;"June 13, 1980 (United States)";5.2;1100.0;"Alan Rudolph";"Big Boy Medlin";"Meat Loaf";"United States";0.0;4226370.0;"Alive Enterprises";106.0
74;"Just Tell Me What You Want";"R";"Comedy";1980;"January 18, 1980 (United States)";5.5;585.0;"Sidney Lumet";"Jay Presson Allen";"Ali MacGraw";"United States";0.0;2086905.0;"Warner Bros.";112.0
75;"The Last Flight of Noah's Ark";"G";"Adventure";1980;"June 25, 1980 (United States)";5.8;1300.0;"Charles Jarrott";"Ernest K. Gann";"Elliott Gould";"United States";6000000.0;11000000.0;"Walt Disney Productions";97.0
76;"Little Miss Marker";"PG";"Comedy";1980;"March 21, 1980 (United States)";6.3;1400.0;"Walter Bernstein";"Damon Runyon";"Walter Matthau";"United States";0.0;6321392.0;"Universal Pictures";103.0
77;"Willie & Phil";"R";"Comedy";1980;"August 15, 1980 (United States)";5.9;415.0;"Paul Mazursky";"Jean Gruault";"Michael Ontkean";"United States";5500000.0;4400000.0;"Twentieth Century Fox";115.0
78;"Babylon";"";"Drama";1980;"November 1980 (United Kingdom)";7.4;1300.0;"Franco Rosso";"Franco Rosso";"David N. Haynes";"United Kingdom";0.0;109749.0;"Diversity Music";95.0
79;"Windwalker";"PG";"Adventure";1980;"November 18, 1983 (Sweden)";6.9;1000.0;"Kieth Merrill";"Ray Goldrup";"Trevor Howard";"United States";3000000.0;0.0;"Santa Fe International";108.0
80;"Phobia";"R";"Drama";1980;"September 9, 1980 (United States)";4.0;546.0;"John Huston";"Gary Sherman";"Paul Michael Glaser";"Canada";5100000.0;59167.0;"Borough Park Productions";94.0
81;"Windows";"R";"Drama";1980;"January 18, 1980 (United States)";4.8;643.0;"Gordon Willis";"Barry Siegel";"Talia Shire";"United States";0.0;2128395.0;"Mike Lobell Productions";96.0
82;"Loving Couples";"PG";"Comedy";1980;"October 24, 1980 (United States)";5.2;351.0;"Jack Smight";"Martin Donovan";"Shirley MacLaine";"United States";0.0;2806659.0;"Time Life Films";97.0
83;"The King and the Mockingbird";"Not Rated";"Animation";1980;"March 19, 1980 (France)";7.9;4800.0;"Paul Grimault";"Hans Christian Andersen";"Jean Martin";"France";0.0;167451.0;"Les Films Paul Grimault";83.0
84;"Oh, God! Book II";"PG";"Comedy";1980;"October 3, 1980 (United States)";5.2;2100.0;"Gilbert Cates";"Josh Greenfeld";"George Burns";"United States";0.0;14504277.0;"Warner Bros.";94.0
85;"Those Lips, Those Eyes";"R";"Comedy";1980;"August 15, 1980 (United States)";6.5;269.0;"Michael Pressman";"David Shaber";"Frank Langella";"United States";0.0;804713.0;"Herb Jaffe";105.0
